,smiles,value,cano_smiles
59,COC1=C(C=CC(=C1)C(O)P(=O)(CCC(C(=O)O)N)O)OCC(=O)O,-2.0,COc1cc(C(O)P(=O)(O)CCC(N)C(=O)O)ccc1OCC(=O)O
60,C1=CC=C2C(=C1)S(=O)(=O)N(S2(=O)=O)C3=CC=C(C=C3)NC(=O)C4=CC=CC=N4,-2.2174839442139063,O=C(Nc1ccc(N2S(=O)(=O)c3ccccc3S2(=O)=O)cc1)c1ccccn1
61,C1=CC=C(C=C1)C2=CC=C(O2)C(=O)NC3=C(C=C(C=C3)NC(=O)C4=CC=CC=N4)Cl,-3.525044807036845,O=C(Nc1ccc(NC(=O)c2ccc(-c3ccccc3)o2)c(Cl)c1)c1ccccn1
62,CC1(C2C1C(=O)N(C2=O)C3=C(C=C(C=C3)NC(=O)C4=CC=CC=N4)Cl)C,-2.837588438235511,CC1(C)C2C(=O)N(c3ccc(NC(=O)c4ccccn4)cc3Cl)C(=O)C21
63,COC1=CC(=CC(=C1O)[N+](=O)[O-])C(O)P(=O)(CCC(C(=O)O)N)O,-3.342422680822206,COc1cc(C(O)P(=O)(O)CCC(N)C(=O)O)cc([N+](=O)[O-])c1O
64,C1=CC=NC(=C1)C(=O)NC2=CC(=C(C=C2)Cl)Cl,-3.096910013008056,O=C(Nc1ccc(Cl)c(Cl)c1)c1ccccn1
65,C1=CC(=CC=C1C(O)P(=O)(CCC(C(=O)O)N)O)OCP(=O)(O)O,-2.568201724066995,NC(CCP(=O)(O)C(O)c1ccc(OCP(=O)(O)O)cc1)C(=O)O
66,C1=CC(=C(C=C1C(O)P(=O)(CCC(C(=O)O)N)O)C(=O)O)OCC(=O)O,-3.6020599913279625,NC(CCP(=O)(O)C(O)c1ccc(OCC(=O)O)c(C(=O)O)c1)C(=O)O
67,C1C(C1(C(=O)O)N)(CP(=O)(O)O)F,-2.0791812460476247,NC1(C(=O)O)CC1(F)CP(=O)(O)O
68,C1=CC=NC(=C1)C(=O)NC2=CC(=C(C=C2)NC(=O)C3=CC(=CC(=C3)Cl)Cl)Cl,-3.369215857410143,O=C(Nc1ccc(NC(=O)c2ccccn2)cc1Cl)c1cc(Cl)cc(Cl)c1
69,COC1=C(C=CC(=C1)NC(=O)C2=NC=CN=C2)NC(=O)C3=CC=CC=C3Cl,-3.049218022670181,COc1cc(NC(=O)c2cnccn2)ccc1NC(=O)c1ccccc1Cl
70,C1C(C1C(=O)O)C(O)P(=O)(CCC(C(=O)O)N)O,-3.707570176097936,NC(CCP(=O)(O)C(O)C1CC1C(=O)O)C(=O)O
71,COC1=CC(=CC(=C1OCC(=O)O)OC)C(O)P(=O)(CCC(C(=O)O)N)O,-2.6989700043360187,COc1cc(C(O)P(=O)(O)CCC(N)C(=O)O)cc(OC)c1OCC(=O)O
72,C1OC2=C(O1)C=C(C=C2)NC(=O)C3=CC=CC=N3,-2.6989700043360187,O=C(Nc1ccc2c(c1)OCO2)c1ccccn1
73,C1C(C1P(=O)(O)O)C(C(=O)O)N,-3.9731278535996983,NC(C(=O)O)C1CC1P(=O)(O)O
74,C1=CC=C2C(=C1)S(=O)(=O)N(S2(=O)=O)C3=CC=C(C=C3)NC(=O)C4=CSC=N4,-2.0211892990699383,O=C(Nc1ccc(N2S(=O)(=O)c3ccccc3S2(=O)=O)cc1)c1cscn1
75,C1=CC=C(C=C1)C2=C(N(C(=C2)O)C3=C(C=C(C=C3)NC(=O)C4=CC=CC=N4)Cl)O,-2.6910814921229687,O=C(Nc1ccc(-n2c(O)cc(-c3ccccc3)c2O)c(Cl)c1)c1ccccn1
76,CCOC1=C(C=CC(=C1)C(O)P(=O)(CCC(C(=O)O)N)O)OCC(=O)O,-3.222716471147584,CCOc1cc(C(O)P(=O)(O)CCC(N)C(=O)O)ccc1OCC(=O)O
77,CC1=NC(=NC=C1)NC2=NC(=C(S2)C)C3=CNN=C3,-0.9542425094393248,Cc1ccnc(Nc2nc(-c3cn[nH]c3)c(C)s2)n1
78,COC1=C(C(=CC(=C1)C(O)P(=O)(CCC(C(=O)O)N)O)Cl)OCC(=O)O,-2.113943352306837,COc1cc(C(O)P(=O)(O)CCC(N)C(=O)O)cc(Cl)c1OCC(=O)O
